"","exe_type","problem_size","run_id","metric_type","metric","value","units","resource","nodes","cpus"
"121","openmpi/sysblas/intfft","akstd",7,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"122","openmpi/sysblas/intfft","akstd",7,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"123","openmpi/sysblas/intfft","akstd",7,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"124","openmpi/sysblas/intfft","akstd",7,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"125","openmpi/sysblas/intfft","akstd",7,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"126","openmpi/sysblas/intfft","akstd",7,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"127","openmpi/sysblas/intfft","akstd",7,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"128","openmpi/sysblas/intfft","akstd",7,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"129","openmpi/sysblas/intfft","akstd",7,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"130","openmpi/sysblas/intfft","akstd",7,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"131","openmpi/sysblas/intfft","akstd",7,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","896.752","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"132","openmpi/sysblas/intfft","akstd",7,"statistic","Average STREAM 'Add' Memory Bandwidth","2314.6496","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"133","openmpi/sysblas/intfft","akstd",7,"statistic","Average STREAM 'Copy' Memory Bandwidth","1912.33024","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"134","openmpi/sysblas/intfft","akstd",7,"statistic","Average STREAM 'Scale' Memory Bandwidth","2184.59136","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"135","openmpi/sysblas/intfft","akstd",7,"statistic","Average STREAM 'Triad' Memory Bandwidth","2423.57248","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"136","openmpi/sysblas/intfft","akstd",7,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15716.6","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"137","openmpi/sysblas/intfft","akstd",7,"statistic","High Performance LINPACK Floating-Point Performance","46862.7","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"138","openmpi/sysblas/intfft","akstd",7,"statistic","High Performance LINPACK Run Time","113.82","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"139","openmpi/sysblas/intfft","akstd",7,"statistic","MPI Random Access","260.905","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"140","openmpi/sysblas/intfft","akstd",7,"statistic","Parallel Matrix Transpose (PTRANS)","10611.3024","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"141","openmpi/sysblas/intfft","akstd",8,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"142","openmpi/sysblas/intfft","akstd",8,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"143","openmpi/sysblas/intfft","akstd",8,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"144","openmpi/sysblas/intfft","akstd",8,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"145","openmpi/sysblas/intfft","akstd",8,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"146","openmpi/sysblas/intfft","akstd",8,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"147","openmpi/sysblas/intfft","akstd",8,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"148","openmpi/sysblas/intfft","akstd",8,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"149","openmpi/sysblas/intfft","akstd",8,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"150","openmpi/sysblas/intfft","akstd",8,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"151","openmpi/sysblas/intfft","akstd",8,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","896.518","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"152","openmpi/sysblas/intfft","akstd",8,"statistic","Average STREAM 'Add' Memory Bandwidth","2367.95904","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"153","openmpi/sysblas/intfft","akstd",8,"statistic","Average STREAM 'Copy' Memory Bandwidth","1869.98784","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"154","openmpi/sysblas/intfft","akstd",8,"statistic","Average STREAM 'Scale' Memory Bandwidth","2281.5744","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"155","openmpi/sysblas/intfft","akstd",8,"statistic","Average STREAM 'Triad' Memory Bandwidth","2483.99872","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"156","openmpi/sysblas/intfft","akstd",8,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15404.6","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"157","openmpi/sysblas/intfft","akstd",8,"statistic","High Performance LINPACK Floating-Point Performance","46350.5","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"158","openmpi/sysblas/intfft","akstd",8,"statistic","High Performance LINPACK Run Time","115.078","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
