title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Directory creation (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-28 00:30:03",472.683,0,no
"2020-11-29 01:00:14",494.722,0,no
"2020-12-01 00:58:08",465.489,0,no
---------
title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Tree removal (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",472.788,0,no
"2020-11-03 00:30:04",514.586,0,no
"2020-11-04 00:30:10",584.864,0,no
"2020-11-05 00:30:18",551.024,0,no
"2020-11-06 00:30:07",482.088,0,no
"2020-11-07 00:30:11",426.765,0,no
"2020-11-09 00:30:07",56.054,-0.20317377490453,no
"2020-11-10 00:30:05",522.643,0,no
"2020-11-11 00:30:07",347.200,0,no
"2020-11-12 00:30:07",488.895,0,no
"2020-11-13 00:30:04",506.603,0,no
"2020-11-14 00:30:08",589.953,0,no
"2020-11-15 00:30:06",516.706,0,no
"2020-11-16 00:30:02",515.879,0,no
"2020-11-17 00:30:06",563.701,0,no
"2020-11-19 14:49:24",541.772,0,no
"2020-11-20 00:30:07",440.723,0,no
"2020-11-21 00:30:06",472.215,0,no
"2020-11-22 00:30:08",530.208,0,no
"2020-11-23 00:30:04",521.508,0,no
"2020-11-24 00:30:05",571.472,0,no
"2020-11-25 00:30:10",538.363,0,no
"2020-11-26 00:30:03",378.572,0,no
"2020-11-27 00:30:06",553.253,0,no
"2020-11-28 00:30:03",548.166,0,no
"2020-11-29 01:00:14",581.866,0,no
"2020-12-01 00:58:08",541.560,0,no
---------
